posture,tester,E280116060000204AC6AD0EC,E280116060000204AC6AD0E6,E280116060000204AC6AD1FE,E280116060000204AC6AD1FD,E280116060000204AC6AC8F0,E280116060000204AC6AD1FC
0,0,-67.53333333333332,-68.01428571428572,-64.75333333333332,-61.706666666666656,-62.61428571428571,-61.013333333333314
0,0,-67.81333333333332,-68.47857142857143,-65.10666666666667,-61.23999999999999,-62.35999999999999,-61.22857142857141
0,0,-67.48666666666665,-69.02307692307691,-64.89333333333333,-61.33333333333332,-62.279999999999994,-60.87999999999998
0,0,-67.3733333333333,-68.66428571428571,-64.99285714285715,-61.13333333333332,-62.5875,-60.74666666666665
0,0,-67.34666666666665,-69.2076923076923,-64.94999999999999,-61.53333333333332,-62.76923076923077,-61.135714285714265
0,0,-67.37857142857142,-68.33333333333333,-65.05,-61.00666666666665,-62.314285714285695,-61.06666666666665
0,0,-67.29285714285713,-68.22857142857143,-64.99999999999999,-61.26666666666665,-62.399999999999984,-61.04615384615383
0,0,-67.32142857142856,-68.51249999999999,-65.23571428571428,-61.26666666666665,-62.15999999999999,-60.81999999999998
0,0,-67.49333333333331,-69.13571428571429,-65.21333333333332,-61.466666666666654,-62.76,-61.414285714285704
0,0,-67.95333333333332,-68.78,-65.21333333333332,-60.86666666666665,-62.3076923076923,-60.63333333333332
0,0,-67.0133333333333,-68.72857142857143,-64.62142857142857,-61.33333333333332,-62.49999999999999,-60.9642857142857
0,0,-67.50624999999998,-68.39999999999999,-65.13076923076923,-61.433333333333316,-62.19999999999998,-60.93999999999998
0,0,-67.3642857142857,-69.28,-65.49999999999999,-61.44285714285713,-62.57142857142856,-60.87333333333332
0,0,-67.21249999999999,-68.5,-65.25625,-61.36249999999998,-62.33749999999999,-61.056249999999984
0,0,-67.0142857142857,-68.69230769230768,-65.47857142857141,-61.46153846153845,-62.228571428571406,-60.746666666666655
0,0,-67.79285714285713,-68.64000000000001,-65.35,-61.13333333333332,-62.399999999999984,-60.74615384615383
0,0,-67.49999999999999,-68.76153846153846,-65.43846153846154,-61.37142857142856,-62.35714285714285,-60.8142857142857
0,0,-67.18666666666665,-68.43124999999999,-65.33125,-61.343749999999986,-62.23999999999999,-60.56666666666664
0,0,-67.31333333333332,-68.70714285714286,-64.56153846153846,-61.29999999999999,-62.40666666666665,-60.686666666666646
0,0,-68.22666666666666,-68.76666666666665,-65.39999999999999,-61.22857142857141,-62.13749999999998,-60.742857142857126
0,0,-67.43999999999998,-68.97500000000001,-65.62499999999999,-61.55333333333331,-62.15999999999998,-60.499999999999986
0,0,-67.23999999999998,-68.44,-65.26666666666667,-61.13999999999998,-62.319999999999986,-61.073333333333316
0,0,-67.20666666666665,-68.21538461538461,-65.40666666666667,-61.406666666666645,-62.399999999999984,-61.06666666666665
0,0,-67.37692307692306,-68.25833333333333,-65.5142857142857,-61.106666666666655,-62.314285714285695,-60.749999999999986
0,0,-67.25714285714284,-68.82307692307693,-64.99285714285715,-61.36249999999998,-62.44615384615384,-60.75624999999998
0,0,-67.55999999999999,-68.53571428571429,-65.04666666666667,-61.235714285714266,-62.23999999999999,-60.62666666666666
0,0,-67.63333333333331,-68.30666666666666,-65.36249999999998,-61.406666666666645,-62.19999999999998,-61.073333333333316
0,0,-67.94285714285714,-68.26923076923076,-65.27999999999999,-60.96153846153845,-62.07999999999998,-60.749999999999986
0,0,-67.8642857142857,-68.55,-65.17333333333333,-61.142857142857125,-62.319999999999986,-60.868749999999984
0,0,-67.96666666666665,-68.27142857142856,-64.99333333333333,-61.53333333333332,-62.22857142857141,-60.686666666666646
0,0,-68.04285714285713,-68.49999999999999,-65.11333333333333,-61.34666666666666,-62.28749999999998,-60.814285714285695
